date,dominant_contract,dominant_close,dominant_oi,rolled,roll_id
1992-11-17,H1993,56.96,15504.0,True,1
1992-11-18,H1993,56.63,15375.0,False,1
1992-11-19,H1993,56.73,15664.0,False,1
1992-11-20,H1993,57.65,16509.0,False,1
1992-11-23,H1993,57.7,16598.0,False,1
1992-11-24,H1993,56.78,16403.0,False,1
1992-11-25,H1993,56.7,16403.0,False,1
1992-11-30,H1993,58.12,17559.0,False,1
1992-12-01,H1993,58.1,17466.0,False,1
1992-12-02,H1993,58.01,17428.0,False,1
1992-12-03,H1993,58.63,18180.0,False,1
1992-12-04,H1993,58.87,18006.0,False,1
1992-12-07,H1993,58.53,17659.0,False,1
1992-12-08,H1993,58.48,17975.0,False,1
1992-12-09,H1993,58.8,17937.0,False,1
1992-12-10,H1993,59.56,18877.0,False,1
1992-12-11,H1993,59.05,18361.0,False,1
1992-12-14,H1993,58.54,18586.0,False,1
1992-12-15,H1993,58.66,18669.0,False,1
1992-12-16,H1993,57.48,18860.0,False,1
1992-12-17,H1993,57.26,17776.0,False,1
1992-12-18,H1993,57.75,17114.0,False,1
1992-12-21,H1993,58.24,17110.0,False,1
1992-12-22,H1993,57.78,16917.0,False,1
1992-12-23,H1993,58.08,16992.0,False,1
1992-12-24,H1993,58.06,16992.0,False,1
1992-12-28,H1993,58.88,17270.0,False,1
1992-12-29,H1993,58.6,17269.0,False,1
1992-12-30,H1993,58.91,17077.0,False,1
1992-12-31,H1993,58.86,16469.0,False,1
1993-01-04,H1993,58.42,16645.0,False,1
1993-01-05,H1993,58.58,16301.0,False,1
1993-01-06,H1993,59.54,17638.0,False,1
1993-01-07,H1993,61.08,18302.0,False,1
1993-01-08,H1993,60.79,18659.0,False,1
1993-01-11,H1993,60.8,18594.0,False,1
1993-01-12,H1993,60.78,18434.0,False,1
1993-01-13,H1993,60.93,18512.0,False,1
1993-01-14,H1993,61.71,18419.0,False,1
1993-01-15,H1993,61.39,18298.0,False,1
1993-01-18,H1993,61.01,18189.0,False,1
1993-01-19,H1993,61.55,17821.0,False,1
1993-01-20,H1993,62.4,17416.0,False,1
1993-01-21,H1993,62.83,17149.0,False,1
1993-01-22,H1993,62.9,16892.0,False,1
1993-01-25,H1993,61.8,16148.0,False,1
1993-01-26,H1993,59.8,14300.0,False,1
1993-01-27,K1993,58.95,11807.0,True,2
1993-01-28,K1993,59.61,12206.0,False,2
1993-01-29,K1993,60.18,11879.0,False,2
1993-02-01,K1993,60.03,11937.0,False,2
1993-02-02,K1993,60.44,12014.0,False,2
1993-02-03,K1993,60.68,12007.0,False,2
1993-02-04,K1993,62.4,11747.0,False,2
1993-02-05,K1993,62.12,11864.0,False,2
1993-02-08,K1993,61.97,11911.0,False,2
1993-02-09,K1993,61.15,12369.0,False,2
1993-02-10,K1993,63.1,12610.0,False,2
1993-02-11,K1993,62.46,14589.0,False,2
1993-02-12,K1993,62.4,14589.0,False,2
1993-02-16,K1993,63.46,15478.0,False,2
1993-02-17,K1993,63.1,16197.0,False,2
1993-02-18,K1993,63.89,16197.0,False,2
1993-02-19,K1993,63.7,17098.0,False,2
1993-02-22,K1993,62.96,17098.0,False,2
1993-02-23,K1993,63.53,17204.0,False,2
1993-02-24,K1993,63.24,17539.0,False,2
1993-02-25,K1993,63.02,17539.0,False,2
1993-02-26,K1993,63.32,17783.0,False,2
1993-03-01,K1993,62.83,17947.0,False,2
1993-03-02,K1993,62.18,17703.0,False,2
1993-03-03,K1993,62.9,17750.0,False,2
1993-03-04,K1993,62.58,17588.0,False,2
1993-03-05,K1993,62.62,17556.0,False,2
1993-03-08,K1993,62.23,17342.0,False,2
1993-03-09,K1993,62.86,17413.0,False,2
1993-03-10,K1993,64.79,18460.0,False,2
1993-03-11,K1993,64.2,18624.0,False,2
1993-03-12,K1993,64.75,18532.0,False,2
1993-03-15,K1993,64.65,18584.0,False,2
1993-03-16,K1993,63.55,18635.0,False,2
1993-03-17,K1993,61.6,18422.0,False,2
1993-03-18,K1993,61.38,16497.0,False,2
1993-03-19,K1993,62.1,15975.0,False,2
1993-03-22,K1993,62.46,15681.0,False,2
1993-03-23,K1993,61.1,15223.0,False,2
1993-03-24,K1993,61.21,14841.0,False,2
1993-03-25,K1993,60.82,14358.0,False,2
1993-03-26,K1993,61.05,14163.0,False,2
1993-03-29,K1993,61.42,14225.0,False,2
1993-03-30,K1993,61.15,13913.0,False,2
1993-03-31,K1993,61.03,13962.0,False,2
1993-04-01,K1993,60.46,13970.0,False,2
1993-04-02,K1993,60.42,12057.0,False,2
1993-04-05,N1993,63.2,11807.0,True,3
1993-04-06,N1993,63.08,11788.0,False,3
1993-04-07,N1993,62.4,12141.0,False,3
1993-04-08,N1993,62.43,12141.0,False,3
1993-04-12,N1993,62.73,12520.0,False,3
1993-04-13,N1993,62.0,12946.0,False,3
1993-04-14,N1993,63.48,13579.0,False,3
1993-04-15,N1993,63.1,13859.0,False,3
1993-04-16,N1993,63.58,14174.0,False,3
1993-04-19,N1993,63.56,14775.0,False,3
1993-04-20,N1993,62.79,15223.0,False,3
1993-04-21,N1993,62.5,15078.0,False,3
1993-04-22,N1993,61.88,15523.0,False,3
1993-04-23,N1993,61.88,16493.0,False,3
1993-04-26,N1993,62.43,17041.0,False,3
1993-04-27,N1993,61.75,16725.0,False,3
1993-04-28,N1993,60.26,17267.0,False,3
1993-04-29,N1993,61.22,16985.0,False,3
1993-04-30,N1993,61.3,16923.0,False,3
1993-05-03,N1993,60.1,17046.0,False,3
1993-05-04,N1993,59.84,17006.0,False,3
1993-05-05,N1993,61.23,17591.0,False,3
1993-05-06,N1993,62.58,16610.0,False,3
1993-05-07,N1993,62.24,15650.0,False,3
1993-05-10,N1993,62.2,15765.0,False,3
1993-05-11,N1993,61.64,16045.0,False,3
1993-05-12,N1993,61.52,16142.0,False,3
1993-05-13,N1993,61.94,16349.0,False,3
1993-05-14,N1993,62.15,16277.0,False,3
1993-05-17,N1993,60.67,16118.0,False,3
1993-05-18,N1993,61.73,15743.0,False,3
1993-05-19,N1993,61.05,15429.0,False,3
1993-05-20,N1993,61.07,15608.0,False,3
1993-05-21,N1993,60.96,15714.0,False,3
1993-05-24,N1993,61.34,15419.0,False,3
1993-05-25,N1993,60.39,15528.0,False,3
1993-05-26,N1993,60.44,15018.0,False,3
1993-05-27,N1993,60.6,14882.0,False,3
1993-05-28,N1993,60.36,14882.0,False,3
1993-06-01,N1993,60.25,14709.0,False,3
1993-06-02,N1993,60.9,14600.0,False,3
1993-06-03,N1993,60.87,14015.0,False,3
1993-06-04,Z1993,58.8,14239.0,True,4
1993-06-07,Z1993,59.25,14146.0,False,4
1993-06-08,Z1993,58.35,15022.0,False,4
1993-06-09,Z1993,57.83,15999.0,False,4
1993-06-10,Z1993,58.18,16364.0,False,4
1993-06-11,Z1993,57.92,16623.0,False,4
1993-06-14,Z1993,58.17,16865.0,False,4
1993-06-15,Z1993,58.05,17038.0,False,4
1993-06-16,Z1993,57.45,18232.0,False,4
1993-06-17,Z1993,57.37,18656.0,False,4
1993-06-18,Z1993,57.32,19120.0,False,4
1993-06-21,Z1993,56.88,19632.0,False,4
1993-06-22,Z1993,57.15,20668.0,False,4
1993-06-23,Z1993,57.0,21713.0,False,4
1993-06-24,Z1993,56.68,21744.0,False,4
1993-06-25,Z1993,56.68,21924.0,False,4
1993-06-28,Z1993,57.18,21901.0,False,4
1993-06-29,Z1993,56.82,21938.0,False,4
1993-06-30,Z1993,57.35,21684.0,False,4
1993-07-01,Z1993,56.47,21927.0,False,4
1993-07-02,Z1993,56.5,21927.0,False,4
1993-07-06,Z1993,58.15,22156.0,False,4
1993-07-07,Z1993,57.75,21632.0,False,4
1993-07-08,Z1993,57.98,21334.0,False,4
1993-07-09,Z1993,59.98,21253.0,False,4
1993-07-12,Z1993,61.05,19699.0,False,4
1993-07-13,Z1993,60.74,19326.0,False,4
1993-07-14,Z1993,60.34,19596.0,False,4
1993-07-15,Z1993,59.6,19428.0,False,4
1993-07-16,Z1993,60.04,19595.0,False,4
1993-07-19,Z1993,61.15,19834.0,False,4
1993-07-20,Z1993,62.34,19996.0,False,4
1993-07-21,Z1993,62.88,21076.0,False,4
1993-07-22,Z1993,62.35,21554.0,False,4
1993-07-23,Z1993,62.49,21821.0,False,4
1993-07-26,Z1993,61.34,20978.0,False,4
1993-07-27,Z1993,61.02,20897.0,False,4
1993-07-28,Z1993,61.35,20959.0,False,4
1993-07-29,Z1993,61.84,20769.0,False,4
1993-07-30,Z1993,60.81,20539.0,False,4
1993-08-02,Z1993,59.45,20142.0,False,4
1993-08-03,Z1993,58.12,19620.0,False,4
1993-08-04,Z1993,58.55,19156.0,False,4
1993-08-05,Z1993,57.47,19424.0,False,4
1993-08-06,Z1993,57.18,19141.0,False,4
1993-08-09,Z1993,57.24,19183.0,False,4
1993-08-10,Z1993,57.6,18786.0,False,4
1993-08-11,Z1993,56.76,18789.0,False,4
1993-08-12,Z1993,55.22,19722.0,False,4
1993-08-13,Z1993,55.98,19953.0,False,4
1993-08-16,Z1993,55.81,20071.0,False,4
1993-08-17,Z1993,55.63,20063.0,False,4
1993-08-18,Z1993,56.26,20280.0,False,4
1993-08-19,Z1993,56.07,20514.0,False,4
1993-08-20,Z1993,56.08,20529.0,False,4
1993-08-23,Z1993,56.48,20624.0,False,4
1993-08-24,Z1993,56.54,20741.0,False,4
1993-08-25,Z1993,58.17,20672.0,False,4
1993-08-26,Z1993,57.8,20032.0,False,4
1993-08-27,Z1993,57.65,20015.0,False,4
1993-08-30,Z1993,56.08,20631.0,False,4
1993-08-31,Z1993,56.68,20408.0,False,4
1993-09-01,Z1993,55.82,21041.0,False,4
1993-09-02,Z1993,57.23,20784.0,False,4
1993-09-03,Z1993,56.76,20784.0,False,4
1993-09-07,Z1993,57.45,21043.0,False,4
1993-09-08,Z1993,57.3,21073.0,False,4
1993-09-09,Z1993,57.34,16555.0,False,4
1993-09-10,Z1993,59.34,21353.0,False,4
1993-09-13,Z1993,59.3,21387.0,False,4
1993-09-14,Z1993,58.3,21002.0,False,4
1993-09-15,Z1993,58.56,21012.0,False,4
1993-09-16,Z1993,58.75,21105.0,False,4
1993-09-17,Z1993,59.15,21845.0,False,4
1993-09-20,Z1993,58.54,21802.0,False,4
1993-09-21,Z1993,58.63,20181.0,False,4
1993-09-22,Z1993,58.68,19909.0,False,4
1993-09-23,Z1993,59.08,20214.0,False,4
1993-09-24,Z1993,59.66,20640.0,False,4
1993-09-27,Z1993,59.92,20474.0,False,4
1993-09-28,Z1993,58.91,19972.0,False,4
1993-09-29,Z1993,58.31,19259.0,False,4
1993-09-30,Z1993,58.7,19091.0,False,4
1993-10-01,Z1993,57.6,18775.0,False,4
1993-10-04,Z1993,58.24,18650.0,False,4
1993-10-05,Z1993,58.54,18788.0,False,4
1993-10-06,Z1993,58.8,18870.0,False,4
1993-10-07,Z1993,58.68,18552.0,False,4
1993-10-08,Z1993,59.85,19091.0,False,4
1993-10-11,Z1993,60.2,18760.0,False,4
1993-10-12,Z1993,59.56,19370.0,False,4
1993-10-13,Z1993,58.27,18787.0,False,4
1993-10-14,Z1993,57.87,17858.0,False,4
1993-10-15,Z1993,58.06,17812.0,False,4
1993-10-18,Z1993,57.4,17675.0,False,4
1993-10-19,Z1993,57.17,17692.0,False,4
1993-10-20,Z1993,57.13,17829.0,False,4
1993-10-21,Z1993,57.74,18022.0,False,4
1993-10-22,Z1993,57.55,18283.0,False,4
1993-10-25,Z1993,57.23,18229.0,False,4
1993-10-26,Z1993,57.36,17752.0,False,4
1993-10-27,Z1993,57.64,17550.0,False,4
1993-10-28,Z1993,57.22,16555.0,False,4
1993-10-29,Z1993,57.27,16497.0,False,4
1993-11-01,Z1993,57.17,16362.0,False,4
1993-11-02,Z1993,57.55,15488.0,False,4
1993-11-03,Z1993,57.25,14886.0,False,4
1993-11-04,Z1993,56.25,16265.0,False,4
1993-11-05,Z1993,56.47,16037.0,False,4
1993-11-08,Z1993,56.13,16220.0,False,4
1993-11-09,Z1993,56.35,15983.0,False,4
1993-11-10,Z1993,57.67,14723.0,False,4
1993-11-11,H1994,60.85,13639.0,True,5
1993-11-12,H1994,60.37,14345.0,False,5
1993-11-15,H1994,60.75,14579.0,False,5
1993-11-16,H1994,60.57,14915.0,False,5
1993-11-17,H1994,60.18,13639.0,False,5
1993-11-18,H1994,60.9,16489.0,False,5
1993-11-19,H1994,62.69,19436.0,False,5
1993-11-22,H1994,62.53,20191.0,False,5
1993-11-23,H1994,62.59,22492.0,False,5
1993-11-24,H1994,62.68,22492.0,False,5
1993-11-29,H1994,62.36,23011.0,False,5
1993-11-30,H1994,62.23,23164.0,False,5
1993-12-01,H1994,62.08,23163.0,False,5
1993-12-02,H1994,62.4,23275.0,False,5
1993-12-03,H1994,63.65,24559.0,False,5
1993-12-06,H1994,63.26,24726.0,False,5
1993-12-07,H1994,64.85,26888.0,False,5
1993-12-08,H1994,64.16,26179.0,False,5
1993-12-09,H1994,64.12,26255.0,False,5
1993-12-10,H1994,63.39,26621.0,False,5
1993-12-13,H1994,63.23,25087.0,False,5
1993-12-14,H1994,63.95,25287.0,False,5
1993-12-15,H1994,65.05,25750.0,False,5
1993-12-16,H1994,64.68,25569.0,False,5
1993-12-17,H1994,65.49,26639.0,False,5
1993-12-20,H1994,65.47,26718.0,False,5
1993-12-21,H1994,65.54,26446.0,False,5
1993-12-22,H1994,66.11,26856.0,False,5
