date,KC,CC,CT,SB
2025-11-13,401.70001220703125,5487.0,62.900001525878906,14.4399995803833
2025-11-14,399.79998779296875,5287.0,62.4900016784668,14.960000038146973
2025-11-17,402.54998779296875,5264.0,62.36000061035156,14.800000190734863
2025-11-18,415.3500061035156,5262.0,62.56999969482422,14.699999809265137
2025-11-19,404.5,4943.0,62.29999923706055,14.65999984741211
2025-11-20,406.5,5108.0,61.68000030517578,14.65999984741211
2025-11-21,400.0,5084.0,61.349998474121094,14.779999732971191
2025-11-24,407.45001220703125,5090.0,61.439998626708984,14.819999694824219
2025-11-25,414.20001220703125,4999.0,62.43000030517578,14.90999984741211
2025-11-26,411.5,4993.0,62.77000045776367,15.140000343322754
2025-11-28,413.0,5404.0,62.90999984741211,15.210000038146973
2025-12-01,411.5,5456.0,62.83000183105469,14.760000228881836
2025-12-02,405.54998779296875,5401.0,62.77000045776367,14.979999542236328
2025-12-03,403.75,5453.0,62.65999984741211,14.930000305175781
2025-12-04,411.95001220703125,5434.0,62.279998779296875,14.880000114440918
2025-12-05,406.25,5643.0,62.130001068115234,14.800000190734863
2025-12-08,396.04998779296875,5648.0,61.880001068115234,14.819999694824219
2025-12-09,394.20001220703125,5829.0,63.86000061035156,14.670000076293945
2025-12-10,400.79998779296875,6168.0,64.12000274658203,14.90999984741211
2025-12-11,405.45001220703125,6235.0,63.970001220703125,14.850000381469727
2025-12-12,397.20001220703125,6226.0,63.83000183105469,15.100000381469727
2025-12-15,387.70001220703125,5823.0,63.939998626708984,14.949999809265137
2025-12-16,379.29998779296875,5998.0,63.099998474121094,14.819999694824219
2025-12-17,351.8999938964844,5978.0,63.43000030517578,14.760000228881836
2025-12-18,345.45001220703125,5934.0,63.5099983215332,14.479999542236328
2025-12-19,340.6499938964844,5845.0,63.75,14.819999694824219
2025-12-22,347.3500061035156,5887.0,63.61000061035156,14.989999771118164
2025-12-23,346.95001220703125,5958.0,64.01000213623047,15.199999809265137
2025-12-24,345.1499938964844,5966.0,64.23999786376953,15.289999961853027
2025-12-26,350.25,5953.0,64.48999786376953,15.170000076293945
2025-12-29,352.1499938964844,6242.0,64.3499984741211,15.260000228881836
2025-12-30,350.20001220703125,6063.0,64.31999969482422,14.84000015258789
2025-12-31,348.75,6065.0,64.2699966430664,15.010000228881836
2026-01-02,357.29998779296875,5871.0,64.01000213623047,14.600000381469727
2026-01-05,359.3500061035156,6077.0,64.6500015258789,14.729999542236328
2026-01-06,373.8500061035156,5954.0,65.05999755859375,14.760000228881836
2026-01-07,375.45001220703125,5915.0,64.8499984741211,14.979999542236328
